from,to,Sm-144,Sm-147,Sm-148,Sm-149,Sm-150,Sm-152,Sm-154
206.666667,211.833333,1.1747E-02,3.0346E+00,1.4029E-01,2.3821E+02,1.5341E+00,1.2637E+01,1.6632E-01
211.833333,217,1.1275E-02,2.9127E+00,1.3456E-01,2.2909E+02,1.4733E+00,1.2114E+01,1.5969E-01
217,222.166667,1.0820E-02,2.7943E+00,1.2881E-01,2.2057E+02,1.4130E+00,1.1590E+01,1.5284E-01
222.166667,227.333333,1.0394E-02,2.6795E+00,1.2329E-01,2.1234E+02,1.3559E+00,1.1125E+01,1.4641E-01
227.333333,232.5,9.9712E-03,2.5674E+00,1.1809E-01,2.0388E+02,1.3010E+00,1.0658E+01,1.4046E-01
232.5,237.666667,9.5515E-03,2.4577E+00,1.1296E-01,1.9584E+02,1.2452E+00,1.0226E+01,1.3428E-01
237.666667,242.833333,9.1432E-03,2.3518E+00,1.0812E-01,1.8799E+02,1.1914E+00,9.7753E+00,1.2852E-01
242.833333,248,8.7519E-03,2.2498E+00,1.0346E-01,1.8041E+02,1.1407E+00,9.3440E+00,1.2299E-01
248,253.166667,8.3739E-03,2.1496E+00,9.8845E-02,1.7271E+02,1.0896E+00,8.9518E+00,1.1770E-01
253.166667,258.333333,8.0043E-03,2.0566E+00,9.4258E-02,1.6526E+02,1.0437E+00,8.5689E+00,1.1224E-01
258.333333,263.5,7.6604E-03,1.9657E+00,8.9934E-02,1.5859E+02,9.9802E-01,8.2066E+00,1.0712E-01
263.5,268.666667,7.3198E-03,1.8807E+00,8.6056E-02,1.5156E+02,9.5534E-01,7.8061E+00,1.0256E-01
268.666667,273.833333,6.9910E-03,1.7936E+00,8.2194E-02,1.4506E+02,9.1102E-01,7.4649E+00,9.8021E-02
273.833333,279,6.6846E-03,1.7137E+00,7.8458E-02,1.3889E+02,8.7001E-01,7.1144E+00,9.3605E-02
279,284.166667,6.3804E-03,1.6354E+00,7.4758E-02,1.3270E+02,8.3077E-01,6.7868E+00,8.9227E-02
284.166667,289.333333,6.0878E-03,1.5595E+00,7.1188E-02,1.2659E+02,7.9310E-01,6.4774E+00,8.5021E-02
289.333333,294.5,5.8109E-03,1.4867E+00,6.7750E-02,1.2090E+02,7.5724E-01,6.2157E+00,8.0937E-02
294.5,299.666667,5.5518E-03,1.4188E+00,6.4666E-02,1.1570E+02,7.2220E-01,5.9457E+00,7.7248E-02
